0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-10.355088511588288,-11.067650258290609,-10.482227707724103,-10.562298357834278,-10.880267367630013,-11.909432182413079,-12.218676219096393,-11.035302482031955,-11.033875933530172,-12.187383561172759,-12.080526429212934,-11.347310899257868,-13.389686607901233,-12.988130786616873,-inf,-13.088753507323366,-12.569984589100644,-13.240802197986767,-13.788720384530478,-14.731779489600806,-12.70051946601946
-11.048235692148234,-11.209620519560996,-10.651864104990743,-10.803460414651166,-10.985627883287838,-11.692367677175252,-12.400997775890346,-10.727817782283996,-11.321558005981954,-11.99632832441005,-13.689964341647036,-11.146640203795718,-13.795151716009396,-12.140832926229669,-inf,-13.964222244677266,-12.906456825721857,-inf,-inf,-13.345485128480915,-12.364047229398247
-10.642770584040068,-10.956424623180386,-10.420352304006016,-10.636406329987999,-11.796558099504168,-12.410207470325568,-13.317288507764502,-10.921973796724952,-10.903822805281974,-12.359233818099417,-13.689964341647036,-11.404469313097817,-13.389686607901233,-11.378692874182772,-inf,-13.781900687883311,-13.417282449487848,-13.240802197986767,-14.481867565090424,-13.815488757726651,-12.70051946601946
-11.048235692148234,-10.930449136777124,-10.748856370978052,-11.255445538394223,-11.796558099504168,-11.795021831235335,-11.930994146644611,-10.958341440895827,-10.916092897873789,-11.303181143850104,-13.689964341647036,-11.672733299692496,-13.284326092243406,-12.700448714165091,-inf,-14.187365795991475,-12.644092561254366,-inf,-13.095573203970533,-13.122341577166706,-12.70051946601946
-inf,-10.672037446625456,-10.514662983477256,-11.004131110113317,-10.985627883287838,-11.768353584153173,-12.218676219096393,-11.035302482031955,-10.879725253702915,-12.566873182877663,-inf,-12.29177250809872,-13.284326092243406,-12.007301533605146,-12.630087962999559,-13.627750008056053,-12.500991717613694,-12.547655017426822,-14.481867565090424,-13.633167200932697,-12.92366301733367
-10.131944960274078,-10.72280977199888,-11.423654412869801,-11.004131110113317,-11.573414548189957,-12.18706391901136,-11.707850595330402,-11.546128105797946,-10.89170144474963,-11.799618030163995,-inf,-11.839787384355663,-13.795151716009396,-12.294983606056928,-12.630087962999559,-14.187365795991475,-13.263131769660589,-13.240802197986767,-inf,-13.227702092824531,-inf
-10.642770584040068,-10.712446984963334,-10.489345175492968,-11.255445538394223,-11.236942311568745,-12.147843205858077,-12.064525539269134,-11.856283034101786,-11.378716419821902,-11.99632832441005,-inf,-11.672733299692496,-13.977473272803351,-11.601836425496982,-inf,-13.781900687883311,-13.263131769660589,-inf,-14.481867565090424,-13.345485128480915,-13.616810197893615
-10.642770584040068,-10.672037446625456,-10.639337845171562,-10.89877059445549,-12.489705280064113,-12.227885913531614,-12.624141327204557,-10.757670745433677,-10.810732382215964,-12.136090266785208,-13.689964341647036,-11.529632456051823,-12.814322462997671,-12.007301533605146,-inf,-13.088753507323366,-12.811146645917532,-13.240802197986767,-14.481867565090424,-14.03863230904086,-12.70051946601946
-10.642770584040068,-10.80982114898851,-10.664549264518058,-11.1219141457697,-10.985627883287838,-11.879579219263398,-12.218676219096393,-11.615120977284898,-10.89170144474963,-12.241450782443033,-13.689964341647036,-11.347310899257868,-13.189015912439082,-12.007301533605146,-inf,-12.6832883992152,-12.906456825721857,-12.547655017426822,-13.383255276422314,-13.633167200932697,-13.211345089785452
-11.74138287270818,-10.917710110999694,-10.681717068140424,-11.815061326329646,-12.489705280064113,-11.692367677175252,-12.400997775890346,-11.209655869176734,-11.303208867313757,-11.764526710352724,-13.689964341647036,-11.347310899257868,-13.977473272803351,-12.988130786616873,-12.630087962999559,-13.49421861543153,-12.811146645917532,-13.240802197986767,-14.481867565090424,-13.633167200932697,-13.616810197893615
-11.74138287270818,-10.943352541613033,-10.631073335321668,-10.205623413895545,-10.985627883287838,-11.59927725410924,-12.911823399656338,-10.61659214717377,-11.216197490324127,-12.298609196282984,-12.99681716108709,-11.19316021943061,-12.814322462997671,-12.988130786616873,-inf,-13.627750008056053,-13.129600377036066,-inf,-14.481867565090424,-14.326314381492642,-14.30995737845356
-11.74138287270818,-10.892708808794277,-10.830829953937725,-11.40959621822148,-11.573414548189957,-11.909432182413079,-13.317288507764502,-10.820191102415011,-11.183407667501136,-12.359233818099417,-inf,-11.935097564159987,-13.507469643557616,-12.140832926229669,-inf,-13.627750008056053,-13.263131769660589,-13.240802197986767,-inf,-13.633167200932697,-inf
-11.74138287270818,-10.917710110999694,-11.030384577855454,-10.716449037661537,-11.391092991396004,-12.073735233704356,-12.911823399656338,-10.820191102415011,-11.250099041999809,-12.187383561172759,-13.689964341647036,-11.752776007366032,-15.586911185237453,-12.477305162850882,-12.630087962999559,-14.187365795991475,-14.515894738155957,-13.240802197986767,-13.788720384530478,-14.03863230904086,-inf
-11.048235692148234,-10.930449136777124,-11.030384577855454,-11.40959621822148,-11.796558099504168,-12.18706391901136,-11.371378358709189,-10.886882476913684,-11.285190361811079,-11.730625158677043,-inf,-11.529632456051823,-13.507469643557616,-12.477305162850882,-12.630087962999559,-13.964222244677266,-12.906456825721857,-inf,-inf,-14.326314381492642,-inf
-inf,-10.956424623180386,-10.810928799620429,-10.89877059445549,-12.489705280064113,-11.668270125596191,-13.317288507764502,-10.757670745433677,-11.09103434737012,-12.187383561172759,-12.99681716108709,-11.752776007366032,-12.947853855622194,-12.007301533605146,-inf,-13.49421861543153,-11.990166093847701,-inf,-14.481867565090424,-14.326314381492642,-12.364047229398247
-11.74138287270818,-10.983092870262546,-11.042730413677754,-11.591917775015435,-11.573414548189957,-12.11010287787523,-12.400997775890346,-10.78844240410043,-11.267490784711677,-12.187383561172759,-13.689964341647036,-11.839787384355663,-13.64100103618214,-12.477305162850882,-12.630087962999559,-13.271075064117321,-12.811146645917532,-inf,-inf,-14.731779489600806,-13.211345089785452
-inf,-11.0244780864254,-10.82581741211418,-13.201355687449537,-11.573414548189957,-12.18706391901136,-11.707850595330402,-11.035302482031955,-11.136154782650591,-12.241450782443033,-inf,-11.752776007366032,-13.977473272803351,-12.700448714165091,-12.630087962999559,-13.964222244677266,-12.906456825721857,-inf,-inf,-13.815488757726651,-13.616810197893615
-11.048235692148234,-11.053051458869456,-11.012146990305673,-11.255445538394223,-12.489705280064113,-11.768353584153173,-13.317288507764502,-10.886882476913684,-11.784181527930066,-12.187383561172759,-13.689964341647036,-12.158241115474198,-13.389686607901233,-12.294983606056928,-inf,-14.187365795991475,-12.811146645917532,-inf,-13.095573203970533,-13.815488757726651,-12.92366301733367
-11.74138287270818,-11.067650258290609,-11.030384577855454,-10.803460414651166,-12.489705280064113,-11.6217501099613,-12.400997775890346,-11.420964962843941,-11.526352418627967,-12.241450782443033,-13.689964341647036,-12.040458079817814,-14.488298896569342,-12.140832926229669,-12.630087962999559,-13.964222244677266,-13.129600377036066,-13.240802197986767,-inf,-13.633167200932697,-14.30995737845356
