0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-11.575261671720616,-13.408219576750243,-11.930183380497391,-12.504900316481073,-12.699400931545242,-13.77121741534422,-13.330369688533102,-12.697090304022845,-12.36740491670524,-14.161282252091066,-13.95798938630558,-12.516000059756752,-14.7786086136877,-13.626932438404967,-13.83929285544724,-14.91556946567093,-14.677456800657342,-14.500047352492818,-14.694498508679194,-15.220002529468669,-14.595087731002348
-11.520011698960063,-13.269595693011228,-11.75853545532023,-12.411389803172037,-12.619590546437651,-13.664994661664766,-13.264138033427342,-12.585539291906654,-12.237021017357328,-14.053952216439555,-13.927698844781395,-12.410112402210386,-14.699109959756374,-13.545950526581942,-13.836841701960395,-14.830814133392682,-14.591219923590353,-14.484925609386895,-14.6514401072472,-15.142879258504506,-14.54129433515298
-11.465320706821243,-13.132553292679862,-11.592372246205823,-12.31862580166453,-12.540435595099543,-13.559931692248343,-13.198727481777615,-12.475381119232766,-12.109774774585413,-13.947510627997124,-13.89784049466476,-12.305827384293755,-14.620432182044246,-13.465599522670294,-13.834598306477467,-14.746811752402731,-14.50556766971265,-14.46998406262771,-14.608801236938113,-15.0662602976848,-14.487864122406133
-11.411280394969237,-12.997368907453309,-11.43230006643647,-12.226744092123734,-12.462050743181093,-13.456204858389217,-13.134264400329299,-12.366864862694461,-11.986169723465963,-13.84212107672782,-13.868481560129396,-12.203419324008102,-14.542701945903874,-13.38598880708196,-13.8325931171478,-14.663694908549486,-14.420595495059384,-14.455249903581644,-14.566649600457904,-14.990232745632637,-14.434857180435166
-11.357982463068724,-12.864319069028198,-11.278925229293954,-12.135880454714375,-12.38455065633202,-13.353990511381147,-13.070875155827322,-12.260239598984526,-11.866709399074972,-13.737947152595158,-13.83968926534856,-12.103162539354198,-14.466045916687294,-13.307227760228383,-13.830856582120303,-14.58159618768083,-14.33639885566518,-14.440750323614617,-14.525052900512067,-14.914883700970567,-14.382333596912947
-11.30552421574988,-12.733683660998539,-11.132841016519624,-12.046181066360273,-12.308056888780182,-13.253472128547632,-13.008687022367754,-12.1557664585518,-11.751891816168913,-13.635164035629618,-13.811533969733182,-12.005343319378033,-14.390595512851553,-13.229433423430741,-13.829420133165263,-14.500656093262835,-14.253077594567165,-14.426513862185672,-14.484082677155355,-14.840306550092771,-14.330356910145424
-11.254034127894046,-12.605761207476263,-10.994568239023904,-11.957849922292288,-12.232729303412793,-13.154872816383396,-12.947832319988693,-12.053773605020403,-11.64218428997226,-13.534011360374945,-13.784103468328237,-11.910314526330719,-14.316508585748354,-13.152765441748956,-13.828320672148525,-14.421059160103246,-14.170755951732874,-14.41257655574417,-14.443831810649467,-14.766629646854847,-14.279009848044774
-11.203651446916522,-12.480856674793797,-10.86460266157993,-11.871110999924058,-12.158741002706584,-13.058429377345686,-12.88844511262204,-11.954612368883627,-11.538043525859385,-13.434751037050761,-13.757491581987509,-11.818452030365451,-14.243952122018854,-13.077398184224961,-13.82759699141839,-14.343005140375796,-14.089566598783879,-14.398977031722982,-14.404400556497187,-14.693993429973943,-14.228381770510142
-11.15451543052245,-12.359275035436669,-10.743440025034465,-11.786188295756567,-12.086265101784734,-12.96437862697405,-12.830659465864763,-11.858634102764277,-11.439926219068708,-13.337644997154808,-13.731792137320204,-11.730131723613093,-14.173093117029861,-13.003506033965067,-13.82728788512831,-14.26669380078983,-14.009642215395273,-14.385753920029217,-14.365889177245716,-14.622538349710455,-14.178562043775086
-11.106765336417816,-12.241321261891462,-10.631576070235292,-11.703305806291743,-12.015474715771356,-12.872957380809083,-12.774609445314791,-11.766190159286149,-11.348289064839623,-13.242955172185896,-13.70709896093648,-11.645729498205467,-14.104098566149268,-12.931263374076572,-13.827432147432646,-14.192324908055769,-13.931115481243214,-14.372945850570956,-14.328397935443277,-14.552404856325879,-14.129640034074194
-11.060543056347667,-12.127295594318474,-10.52948468749488,-11.622692393813166,-11.946545859175984,-12.78440289205973,-12.720427360507287,-11.677624234901621,-11.26356303785358,-13.150941290573675,-13.683505608001859,-11.565615932671,-14.037134681404803,-12.860846416376718,-13.828067660604253,-14.120101916840632,-13.85412184608815,-14.360592275183905,-14.292028580112785,-14.48373817977852,-14.081706820964605
-11.016012944588951,-12.017457916623469,-10.437453430443567,-11.544618414961239,-11.87967927185821,-12.698956146289282,-12.668230545660702,-11.5932147358815,-11.185959773383672,-13.061844293457423,-13.661103318871213,-11.490116292275424,-13.972360994679306,-12.792446967541883,-13.829224530596106,-14.050259731929524,-13.778820382389664,-14.348739654938012,-14.256895536627518,-14.416724310272185,-14.03486809486397
-10.973350727716149,-11.912047681211414,-10.355675514463996,-11.469375234077232,-11.815088211591473,-12.6168600186734,-12.618128753314705,-11.513207013485301,-11.115579859885603,-12.975895610377677,-13.639982161962164,-11.419532901156998,-13.909933655843876,-12.726264729591437,-13.830928926379302,-13.98304918062689,-13.705382122273004,-14.33743799952913,-14.223119648125609,-14.351569874047017,-13.989236943355653
-10.932732220662617,-11.81130418173321,-10.284343421937308,-11.397254378726934,-11.752986033409034,-12.538357399066452,-12.570231677097077,-11.437846162135461,-11.052523022989996,-12.893326596967407,-13.620232196583508,-11.354167905200757,-13.85000878848831,-12.662499465887516,-13.833206986332206,-13.918721213949944,-13.633978190785276,-14.326737346222549,-14.190821807607326,-14.288481657679439,-13.94492651149494
-10.894333238363984,-11.71546671184273,-10.223649635247565,-11.32854737647874,-11.693586092346724,-12.463691177325689,-12.524649010638216,-11.367377276257136,-10.996888988330236,-12.814368608862539,-13.601943482046625,-11.2943234502944,-13.792742516205351,-12.601350939794994,-13.836084848835618,-13.857526782918882,-13.564779712976533,-14.316687732286153,-14.160122908075694,-14.22766644774888,-13.902049944339915
-10.858328499481663,-11.624768279757356,-10.17376784927956,-11.26354157937865,-11.637101379407937,-12.393098640682396,-12.481489058043996,-11.302033803818063,-10.948759784926969,-12.739244246254689,-13.585204200923442,-11.24029143883328,-13.73828671324305,-12.543015970647303,-13.839587932989861,-13.799712194533512,-13.497958642551756,-14.307339361211467,-14.131143354322194,-14.169330327276292,-13.860719421253949
-10.824877630755157,-11.539355364771591,-10.134613119372723,-11.202466856843564,-11.583739874140196,-12.326739947409077,-12.44084099444856,-11.241888860948817,-10.907973820029335,-12.668055576857956,-13.570076699532098,-11.192222755403154,-13.686734754943828,-12.487650848566592,-13.84373175588959,-13.745459823554496,-13.433698340987362,-14.298744724847129,-14.103996830163652,-14.11366969371974,-13.821033827316771
-10.794129277396372,-11.459311484019544,-10.105912303615426,-11.145511251461807,-11.533705909544588,-12.264719133435761,-12.40278007592801,-11.186898899444738,-10.874192231213192,-12.60081696377728,-13.556604524625655,-11.150165673971522,-13.638137450335533,-12.435382372882518,-13.848524629508288,-13.694905524900893,-13.372190470549874,-14.290957980153141,-14.078792128951337,-14.060873896910278,-13.783082374120305
-10.766231836556187,-11.384718732414143,-10.08738800901709,-11.092861861014406,-11.487203736245718,-12.207138966971902,-12.3673812441424,-11.137017735835435,-10.847072151812073,-12.53754078900455,-13.544830798298486,-11.114166150690998,-13.592544646934002,-12.386336676768146,-13.853974703060842,-13.648184102675852,-13.313626880999315,-14.284033321694643,-14.055637933561368,-14.011132127476415,-13.746954054740524
-10.741333705389952,-11.315659204874034,-10.07876284259266,-11.044705783287444,-11.444437604873231,-12.154102216232568,-12.334719440756949,-11.09219918665579,-10.826270715164851,-12.478239434537414,-13.534798642650095,-11.084270141719378,-13.550006192260835,-12.340639893401892,-13.860090125767016,-13.605430360988379,-13.258199422101482,-14.278024944041986,-14.034642926875351,-13.964633576052556,-13.712737862258924
